Institute,Academic Program Name,Quota,Seat Type,Gender,Opening_R1,Closing_R1,Opening_R2,Closing_R2,Opening_R3,Closing_R3,Opening_R4,Closing_R4,Opening_R5,Closing_R5,Opening_R6,Closing_R6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,10119,10958,10765,11690,12157,13158,12157,13283,12157,13458,14871,15343
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),24871,24871,25747,25747,25747,25747,25747,25747,25747,25747,31327,31327
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,21209,23389,23389,26857,24512,28846,25173,29422,25173,29422,28525,31848
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),68243,68243,68243,68243,68243,68243,68243,68243,68243,68243,86651,86651
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,39074,66923,58197,73662,60893,77136,60893,78837,60893,80704,60893,88476
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032,1032
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,11151,12119,11430,13512,11540,14075,11540,14075,11540,14075,11540,14075
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,4612,4635,5377,5856,5377,6064,5377,6064,5377,6064,5377,6064
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,22205,23746,23746,30183,30313,35694,34370,37531,34370,38007,38007,40209
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),70635,70635,77452,77452,77452,77452,77452,77452,79678,79678,117238,117238
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,52108,69612,73432,85861,79678,95341,79678,99739,80557,107142,85861,127136
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),129629,129629,129629,129629,129629,129629,129629,129629,129629,129629,129629,129629
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,94565,141227,125600,159214,125600,184210,125600,204706,125600,219741,132071,246536
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),14181,14181,21049,21049,21049,21049,21049,21049,21049,21049,21049,21049
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,16550,21582,16550,21841,16550,22101,16550,22101,16550,22101,21582,24756
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,6233,6618,6618,7236,8193,8707,8193,8707,8193,8707,8874,9527
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,6995,7753,7916,8300,7916,8300,7916,8300,7916,8368,8834,9188
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),16458,16458,21274,21274,21274,21274,21274,21274,21274,21274,21274,21274
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,14713,17023,16005,18377,17023,18389,17023,19410,17023,19410,18377,20538
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),44196,44196,49476,49476,49476,49476,49476,49476,49476,49476,49476,49476
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,32251,45009,32937,48985,32937,52326,32937,53277,32937,54614,36525,58926
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1027,1027,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,7276,8992,8992,9658,8992,10055,8992,10082,8992,10303,8992,10559
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,3846,3944,3846,3962,3846,3962,3846,3962,3846,3962,3846,3962
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,12264,14070,14070,15801,14070,16299,14070,16299,14070,16299,15018,17225
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),65659,65659,69071,69071,70503,70503,70503,70503,70503,70503,70503,70503
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,38787,46885,43335,56970,43335,58429,43335,58429,43335,58429,46428,63382
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),58413,58413,115147,115147,120410,120410,124854,124854,128240,128240,128714,128714
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,51515,84087,80319,87732,80319,87938,80319,87938,80319,88494,81897,98436
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),11992,11992,12197,12197,12197,12197,12197,12197,12197,12197,16085,16085
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,11350,13347,13347,13772,13347,13772,13347,13772,13347,13772,13347,14298
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,4594,4841,4594,5440,4594,5440,4594,5440,4594,5792,4594,5792
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,7841,8126,8637,9212,8834,9513,8834,9513,8834,9513,10084,10088
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),17591,17591,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,15405,17790,18383,20009,18789,21809,18789,21849,18789,21979,20596,22756
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),57126,57126,57628,57628,57628,57628,57628,57628,57628,57628,64485,64485
