Institute,Academic Program Name,Quota,Seat Type,Gender,Opening_R1,Closing_R1,Opening_R2,Closing_R2,Opening_R3,Closing_R3,Opening_R4,Closing_R4,Opening_R5,Closing_R5,Opening_R6,Closing_R6
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Aeronautical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,77093.0,77093.0,,,,,,,,,,
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Aerospace Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,48348.0,48348.0,,,90119.0,90119.0,56033.0,56033.0,,,,
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Aerospace Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,77596.0,77596.0,,,,,,,,,,
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,53225.0,53225.0,,,92733.0,92733.0,74861.0,74861.0,,,,
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,109748.0,109748.0,,,,,,,,,,
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,72063.0,72063.0,,,104746.0,104746.0,78464.0,78464.0,,,,
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,84428.0,84428.0,,,,,,,,,,
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (Cyber Security) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,111502.0,111502.0,,,98461.0,98461.0,,,,,,
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,92839.0,92839.0,,,,,,,,,,
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (IOT) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,106469.0,106469.0,,,,,,,,,,
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,104372.0,104372.0,,,,,,,,,,
"A.G.M Rural College of Engineering and Technology-Varur, Hubballi","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,,,,,,,87966.0,87966.0,,,,
"A.G.M Rural College of Engineering and Technology-Varur, Hubballi","Computer Science & Engineering (Artificial Intelligence & Machine Learning) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,101469.0,101469.0,,,,,,,,,,
"A.G.M Rural College of Engineering and Technology-Varur, Hubballi","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,107183.0,107183.0,,,,,,,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Aeronautical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,65679.0,65679.0,,,95021.0,95021.0,85705.0,85705.0,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Aeronautical Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,101846.0,101846.0,,,,,,,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,61086.0,61086.0,,,109229.0,109229.0,96420.0,96420.0,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,109296.0,109296.0,,,,,,,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Civil Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,107819.0,107819.0,,,,,69742.0,69742.0,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,67547.0,67547.0,,,109518.0,109518.0,100868.0,100868.0,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,108388.0,108388.0,108388.0,108388.0,,,94314.0,94314.0,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Computer Science & Engineering (Artificial Intelligence & Machine Learning) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,62210.0,62210.0,,,111096.0,111096.0,92567.0,92567.0,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Computer Science & Engineering (Artificial Intelligence & Machine Learning) (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,92917.0,92917.0,89886.0,89886.0,,,,,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,69322.0,69322.0,,,92944.0,92944.0,100328.0,100328.0,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,87495.0,87495.0,,,,,86862.0,86862.0,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Electrical & Electronics Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,107250.0,107250.0,,,70900.0,70900.0,,,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,86989.0,86989.0,,,,,,,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Electronics & Communicati on Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,,,,,62066.0,62066.0,,,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Electronics & Communication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,,,,,,,86980.0,86980.0,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Electronics & Communication Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,,,,,,,69006.0,69006.0,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Information Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,,,,,,,75402.0,75402.0,,,,
"AMC Engineering College-Bannerghatta Rd, Bengaluru","Mechanical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,103137.0,103137.0,,,,,82125.0,82125.0,,,,
"APS College of Engineering-Kanakapura Road, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,99522.0,99522.0,,,41643.0,41643.0,,,,,,
"APS College of Engineering-Kanakapura Road, Bengaluru","Computer Science & Engineering (Artificial Intelligence & Machine Learning) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,73500.0,73500.0,,,94218.0,94218.0,,,,,,
"APS College of Engineering-Kanakapura Road, Bengaluru","Computer Science & Engineering (Cyber Security) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,106002.0,106002.0,,,,,52152.0,52152.0,,,,
"APS College of Engineering-Kanakapura Road, Bengaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,107673.0,107673.0,,,,,,,,,,
"APS College of Engineering-Kanakapura Road, Bengaluru","Information Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,111599.0,111599.0,,,,,69473.0,69473.0,,,,
"ATME College of Engineering-Bannur Road, Mysuru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,80550.0,80550.0,,,105603.0,105603.0,91913.0,91913.0,,,,
"ATME College of Engineering-Bannur Road, Mysuru","Computer Science & Engineering (Artificial Intelligence & Machine Learning) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,84726.0,84726.0,,,99165.0,99165.0,99599.0,99599.0,,,,
"ATME College of Engineering-Bannur Road, Mysuru","Computer Science & Engineering (Cyber Security) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,,,,,,,89303.0,89303.0,,,,
"ATME College of Engineering-Bannur Road, Mysuru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,91055.0,91055.0,,,,,98996.0,98996.0,,,,
"ATME College of Engineering-Bannur Road, Mysuru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110767.0,110767.0,,,,,,,,,,
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Aeronautical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,32990.0,32990.0,,,104061.0,104061.0,59353.0,59353.0,,,,
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Aeronautical Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,97600.0,97600.0,,,,,,,,,,
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,28132.0,28132.0,,,52746.0,52746.0,78979.0,78979.0,,,,
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,59237.0,59237.0,86498.0,86498.0,,,41746.0,41746.0,,,,
"Acharya Institute of Technology-Soladevanahalli, Bengaluru","Bio- technology (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,57931.0,57931.0,,,105937.0,105937.0,82087.0,82087.0,,,,
