exam_type,year,college_code,college_name,course_code,course_name,category,total_seats,category_seats,tuition_fee,other_fee,total_fee,closing_rank_mock,closing_rank_r1,closing_rank_r2,closing_rank_r3,closing_rank_r4
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",AE,Aeronautical Engineering,GM,18,16,281100,20000,301100,,32990,,104061,56571
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",AE,Aeronautical Engineering,KKR,18,2,281100,20000,301100,,97600,,,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",AI,Artificial Intelligence & Machine Learning,GM,36,33,281100,20000,301100,31672,28132,,52746,99107
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",AI,Artificial Intelligence & Machine Learning,KKR,36,3,281100,20000,301100,77402,59237,86498,,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",BT,Biotechnology,GM,18,16,209390,20000,229390,59900,57931,,105937,82087
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",BT,Biotechnology,KKR,18,2,209390,20000,229390,94718,94718,,,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",CD,Computer Science & Engineering (Data Science),GM,18,16,281100,20000,301100,,28589,,53623,103486
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",CD,Computer Science & Engineering (Data Science),KKR,18,2,281100,20000,301100,,77022,102464,,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",CS,Computer Science & Engineering,GM,108,99,281100,20000,301100,,27452,,51728,109781
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",CS,Computer Science & Engineering,KKR,108,9,281100,20000,301100,,64341,95420,,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",CV,Civil Engineering,GM,8,7,81800,20000,101800,70026,60864,,90907,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",CV,Civil Engineering,KKR,8,1,81800,20000,101800,,,,,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",EC,Electronics & Communication Engineering,GM,54,49,281100,20000,301100,44652,39829,,89548,87540
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",EC,Electronics & Communication Engineering,KKR,54,5,281100,20000,301100,97035,90708,,,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",EE,Electrical & Electronics Engineering,GM,18,16,209390,20000,229390,,48775,,104887,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",EE,Electrical & Electronics Engineering,KKR,18,2,209390,20000,229390,,107783,,,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",IS,Information Science & Engineering,GM,72,66,281100,20000,301100,41490,39108,,75143,106733
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",IS,Information Science & Engineering,KKR,72,6,281100,20000,301100,87959,85319,,,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",ME,Mechanical Engineering,GM,8,7,81800,20000,101800,62773,50724,,107616,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",ME,Mechanical Engineering,KKR,8,1,81800,20000,101800,,83862,83862,,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",MT,Mechatronics Engineering,GM,18,16,281100,20000,301100,81092,62208,,90218,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",MT,Mechatronics Engineering,KKR,18,2,281100,20000,301100,,91138,,,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",RI,Robotics & Artificial Intelligence,GM,18,16,281100,20000,301100,42895,38683,,70413,
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",RI,Robotics & Artificial Intelligence,KKR,18,2,281100,20000,301100,101252,91837,,,
COMEDK,2025,E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",AE,Aeronautical Engineering,GM,18,15,200000,20000,220000,,77093,,,
