exam_type,year,seat_type,college_code,college_name,course_name,category,closing_rank_r1,closing_rank_r2,closing_rank_r3
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1G,7516,7802,11952
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2AG,6634,8424,8509
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2AR,7574,9358,10643.5
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2BG,11136,11781,11781
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,3AG,5191,6904,7822
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,3BG,4788,6584,8626
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GM,4628,6389,7213
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GMK,9379,9379,9379
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GMR,5784,7574,7630
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SCG,26335,26425,26425
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SCK,41199,41199,41199
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SCR,33087,33087,35574
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,STG,17943,25226,30994
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,STR,23537,27201,32560
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,1G,70257,77403,99946
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,1R,89409,96372,
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,2AG,63957,78404,82890
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,2AK,94508,94879,94879
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,2AR,76553.5,89432,89432
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,2BG,69408,74679,83486
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,2BR,69924,79602,
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,3AG,52560,63732,63732
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,3BG,54863,63278,76223
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,3BK,76685.5,80213,80213
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,3BR,58132.5,71645,76685.5
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,GM,45486,53340.5,55203
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,GMK,49643,61622,72059
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,GMR,56287,69924,69924
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,SCG,68785,84998,107260
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,SCK,86993,119593,119593
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,SCR,91450,93876,139264
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,STG,83075,112510,113946
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",CIVIL ENGINEERING,STR,87761,127611,127611
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,1G,6560.5,6520,7462
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,1K,9347,9347,9347
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,1R,7462,7462,12411
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,2AG,5714,7544,7750
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,2AK,7871,9881,9881
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,2AR,5978,8120,8266
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,2BG,8937,10476,10476
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,3AG,4061,5200,6904
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,3AR,5264,6143.5,7336
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,3BG,4329,5005,6263
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,3BR,5273.5,5867,6502
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,GM,3473,4732,5020
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,GMK,4239,7871,7871
KCET,2025,ROK,E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",COMPUTER SCIENCE AND ENGINEERING,GMR,5010,5713,6170
