exam_type,year,round,college_code,college_name,course_name,category,closing_rank
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,1G,7516
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,2AG,6634
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,2AR,7574
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,2BG,11136
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,3AG,5191
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,3BG,4788
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,GM,4628
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,GMK,9379
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,GMR,5784
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,SCG,26335
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,SCK,41199
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,SCR,33087
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,STG,17943
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ARTIFICIAL,STR,23537
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,1G,70257
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,1R,89409
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,2AG,63957
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,2AK,94508
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,2AR,76553
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,2BG,69408
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,2BR,69924
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,3AG,52560
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,3BG,54863
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,3BK,76685
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,3BR,58132
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,GM,45486
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,GMK,49643
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,GMR,56287
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,SCG,68785
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,SCK,86993
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,SCR,91450
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,STG,83075
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,INTELLIGENCE AND DATA SCIENCE CIVIL,STR,87761
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,1G,6560
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,1K,9347
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,1R,7462
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,2AG,5714
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,2AK,7871
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,2AR,5978
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,2BG,8937
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,3AG,4061
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,3AR,5264
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,3BG,4329
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,3BR,5273
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,GM,3473
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,GMK,4239
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,GMR,5010
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,SCG,21248
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,SCK,29894
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,SCR,24589
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,STG,16132
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ENGINEERING COMPUTER,STR,17552
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,1G,21811
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,1R,30612
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,2AG,22042
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,2AK,29635
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,2AR,31445
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,2BG,28586
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,3AG,18870
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,3AK,35779
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,3AR,23276
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,3BG,19267
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,3BR,23633
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,GM,13703
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,GMK,22918
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,GMR,23214
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,SCG,55146
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,SCK,57559
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,SCR,60637
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,STG,57867
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING ELECTRICAL &,STR,59535
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,1G,10346
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,2AG,9710
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,2AK,11865
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,2AR,10539
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,2BG,17880
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,2BR,22894
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,3AG,7313
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,3AR,10000
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,3BG,7588
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,3BR,8883
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,GM,5418
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,GMK,11324
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,GMR,8782
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,SCG,35273
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,SCK,35408
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,SCR,46784
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,STG,36359
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,STK,36428
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,ELECTRONICS ENGINEERING ELECTRONICS AND,STR,36504
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,1G,7596
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,2AG,7224
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,2AR,8169
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,2BG,13063
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,2BK,40080
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,2BR,13090
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,3AG,4832
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,3BG,5030
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,GM,4625
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,GMK,10867
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,GMR,5867
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,SCG,29415
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,SCR,33279
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,STG,26057
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,COMMUNICATION ENGG INFORMATION,STR,31963
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,1G,54331
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,1R,64274
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,2AG,53770
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,2AK,55464
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,2AR,59670
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,2BG,75437
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,2BR,107428
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,3AG,38626
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,3AR,51048
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,3BG,44587
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,3BK,58110
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,3BR,49821
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,GM,32642
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,GMK,51206
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,GMR,49783
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,SCG,98210
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,SCK,122776
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,SCR,121962
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,STG,99846
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,STK,100877
KCET,2025,1,E001,Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,SCIENCE AND ENGINEERING MECHANICAL,STR,99900
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,1G,86595
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,2AG,86200
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,2AK,94879
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,2AR,88846
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,2BG,79933
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,3AG,82091
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,3BG,79041
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,3BR,81900
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,GM,72936
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,GMK,78142
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,GMR,79802
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,SCG,92847
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,SCK,98630
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,SCR,132474
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,STG,89550
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,CIVIL,STR,102301
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,1G,17441
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,2AG,17931
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,2AR,19245
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,2BG,24262
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,2BR,41253
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,3AG,15989
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,3AR,19663
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,3BG,15139
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,3BR,17458
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,GM,14802
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,GMK,16876
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,GMR,16749
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,SCG,36382
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,SCR,38364
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,STG,35798
KCET,2025,1,E002,Govt.S K S J T Institute of Engineering,ENGINEERING COMPUTER,STK,42283
